"KBA011464","논현두산위브","논현아펠바움1차","논현동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('26416','KBA011464',1000000013,NOW(),1000000013,NOW());"
"KBA011464","논현두산위브","논현아펠바움2차","논현동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('103939','KBA011464',1000000013,NOW(),1000000013,NOW());"
"KBA011464","논현두산위브","논현웰스톤","논현동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('27822','KBA011464',1000000013,NOW(),1000000013,NOW());"
"KBA011464","논현두산위브","논현인텔리전트하우스","논현동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('105512','KBA011464',1000000013,NOW(),1000000013,NOW());"
"KBA011464","논현두산위브","논현테크노빌","논현동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('109991','KBA011464',1000000013,NOW(),1000000013,NOW());"
"KBA011464","논현두산위브","논현프라임(192-3)","논현동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('100691','KBA011464',1000000013,NOW(),1000000013,NOW());"
"KBA011464","논현두산위브","논현한가람","논현동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('9618','KBA011464',1000000013,NOW(),1000000013,NOW());"
"KBA011464","논현두산위브","논현한화꿈에그린2차","논현동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('22571','KBA011464',1000000013,NOW(),1000000013,NOW());"
"KBA011464","논현두산위브","더그레이스","논현동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('13362','KBA011464',1000000013,NOW(),1000000013,NOW());"
"KBA011464","논현두산위브","더케이(도시형)","논현동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('118925','KBA011464',1000000013,NOW(),1000000013,NOW());"
"KBA011464","논현두산위브","더클래식논현(도시형)","논현동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('114271','KBA011464',1000000013,NOW(),1000000013,NOW());"
"KBA011464","논현두산위브","동화(도시형)","논현동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('114469','KBA011464',1000000013,NOW(),1000000013,NOW());"
"KBA011464","논현두산위브","두영","논현동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('22333','KBA011464',1000000013,NOW(),1000000013,NOW());"
"KBA011464","논현두산위브","라디안","논현동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('118649','KBA011464',1000000013,NOW(),1000000013,NOW());"
"KBA011464","논현두산위브","라이헤스빌","논현동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('107896','KBA011464',1000000013,NOW(),1000000013,NOW());"
"KBA011464","논현두산위브","로체샤르캐슬","논현동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('103370','KBA011464',1000000013,NOW(),1000000013,NOW());"
"KBA011464","논현두산위브","리더스빌","논현동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('101877','KBA011464',1000000013,NOW(),1000000013,NOW());"
"KBA011464","논현두산위브","리츠하우스","논현동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('117690','KBA011464',1000000013,NOW(),1000000013,NOW());"
"KBA011464","논현두산위브","마블하우스","논현동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('106453','KBA011464',1000000013,NOW(),1000000013,NOW());"
"KBA011464","논현두산위브","벨러스빌","논현동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('103839','KBA011464',1000000013,NOW(),1000000013,NOW());"
"KBA011464","논현두산위브","보노체아(도시형)","논현동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('105867','KBA011464',1000000013,NOW(),1000000013,NOW());"
"KBA011464","논현두산위브","비쥬힐","논현동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('106267','KBA011464',1000000013,NOW(),1000000013,NOW());"
"KBA011464","논현두산위브","삼성빌라트","논현동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('106667','KBA011464',1000000013,NOW(),1000000013,NOW());"
"KBA011464","논현두산위브","세호시티라이프","논현동","강남구","서울특별시","INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('18190','KBA011464',1000000013,NOW(),1000000013,NOW());"
