KB_REGN_NM,KB_REGN_NM,KB_REGN_NM,CMPX_IDF_ID,CMPX_IDF_NM,TOT_HSHL_CNT,NV세대수,SUM_HSHL_CNT,NV_CMPX_NM,NV_CMPX_ID,KB주택형,NV주택형,NV_URL,KB_URL,REG_USER_ID
압구정동,강남구,서울특별시,KBA011263,현대(7차),560,1288,1288,"현대6,7차",724,"158.67㎡/144.2㎡^,171.9㎡/157.36㎡^,214.87㎡/196.7㎡^,264.46㎡/245.2㎡^","면적156A㎡^,면적156C㎡^,면적156B㎡^,면적157㎡^,면적170㎡^,면적212A㎡^,면적212B㎡^,면적264㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=724,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA011263&주택형일련번호=&부동산대지역코드=010000&부동산중지역코드=010100&부동산소지역코드=010109&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=현대(7차)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,1000000015
청담동,강남구,서울특별시,KBA004351,진흥,630,375,375,진흥,733,"107.19㎡/83.58㎡^,145.69㎡/126.46㎡^,181.81㎡/158.81㎡^","면적107㎡^,면적109㎡^,면적143㎡^,면적145B㎡^,면적145A㎡^,면적180㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=733,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA004351&주택형일련번호=&부동산대지역코드=010000&부동산중지역코드=010100&부동산소지역코드=010115&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=진흥&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,1000000001
청담동,강남구,서울특별시,KBA003477,신동아,107,106,106,신동아,8478,103.82㎡/84.94㎡^,"면적103㎡^,면적115㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=8478,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA003477&주택형일련번호=&부동산대지역코드=010000&부동산중지역코드=010100&부동산소지역코드=010115&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=신동아&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,1000000001
길동,강동구,서울특별시,KBA011506,"에이치비골드빌(2,3차)",186,317,317,에이치비골드빌,11980,"62.81㎡/42.3㎡^,85.95A㎡/57.31㎡^,92.56㎡/62.39㎡^,99.17㎡/64.19㎡^,109.09A㎡/74.51㎡^,115.7㎡/83.11㎡^","면적47㎡^,면적51㎡^,면적61㎡^,면적69㎡^,면적71㎡^,면적75㎡^,면적81A㎡^,면적83B㎡^,면적84㎡^,면적88A㎡^,면적90C㎡^,면적90B㎡^,면적95㎡^,면적97A㎡^,면적98B㎡^,면적101㎡^,면적114㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=11980,"http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA011506&주택형일련번호=&부동산대지역코드=010000&부동산중지역코드=010200&부동산소지역코드=010202&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=에이치비골드빌(2,3차)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=",1000000014
길동,강동구,서울특별시,KBA005969,길동골드빌1차,131,19,19,골든빌,18611,"79.33㎡/60.1㎡^,95.86㎡/72.41㎡^,112.39㎡/84.77㎡^","면적125㎡^,면적132㎡^,면적224㎡^,면적267㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=18611,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA005969&주택형일련번호=&부동산대지역코드=010000&부동산중지역코드=010200&부동산소지역코드=010202&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=길동골드빌1차&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,1000000013
둔촌동,강동구,서울특별시,KBA015234,광남캐스빌,98,126,126,광남캐스빌(435-7),22177,102.13㎡/83.97㎡^,"면적79㎡^,면적92㎡^,면적102D㎡^,면적102E㎡^,면적102C㎡^,면적102B㎡^,면적102A㎡^,면적108㎡^,면적142㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=22177,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA015234&주택형일련번호=&부동산대지역코드=010000&부동산중지역코드=010200&부동산소지역코드=010203&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=광남캐스빌&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,1000000014
명일동,강동구,서울특별시,KBA015047,우성(휠),51,77,77,우성(356),18555,105.3㎡/84.97㎡^,"면적52㎡^,면적84㎡^,면적90㎡^,면적92A㎡^,면적92B㎡^,면적96㎡^,면적98E㎡^,면적98F㎡^,면적99A㎡^,면적99B㎡^,면적100C㎡^,면적100D㎡^,면적103㎡^,면적104B㎡^,면적105A㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=18555,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA015047&주택형일련번호=&부동산대지역코드=010000&부동산중지역코드=010200&부동산소지역코드=010204&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=우성(휠)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,1000000012
성내동,강동구,서울특별시,KBA005542,삼성(3단지),50,1220,1220,성내삼성,993,112.39㎡/84.99㎡^,"면적85㎡^,면적110㎡^,면적142㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=993,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA005542&주택형일련번호=&부동산대지역코드=010000&부동산중지역코드=010200&부동산소지역코드=010206&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=삼성(3단지)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,1000000015
성내동,강동구,서울특별시,KBA006629,삼성(1단지),510,1220,1220,성내삼성,993,85.95㎡/59.88㎡^,"면적85㎡^,면적110㎡^,면적142㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=993,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA006629&주택형일련번호=&부동산대지역코드=010000&부동산중지역코드=010200&부동산소지역코드=010206&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=삼성(1단지)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,1000000015
성내동,강동구,서울특별시,KBA010828,삼성(2단지),661,1220,1220,성내삼성,993,"109.09㎡/84.99㎡^,142.14㎡/114.93㎡^","면적85㎡^,면적110㎡^,면적142㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=993,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA010828&주택형일련번호=&부동산대지역코드=010000&부동산중지역코드=010200&부동산소지역코드=010206&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=삼성(2단지)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,1000000015
