KB_REGN_NM,KB_REGN_NM,KB_REGN_NM,CMPX_IDF_ID,CMPX_IDF_NM,TOT_HSHL_CNT,NV세대수,NV_CMPX_NM,NV_CMPX_ID,KB주택형,NV주택형,REG_USER_ID
화곡동,강서구,서울특별시,KBA011530,화곡보람(보람쉬움),189,44,화곡보람쉬움6차(더하임),19505,"107.06A㎡/84.94㎡&,107.59B㎡/84.51㎡&,140.84㎡/112.05㎡&,76.02㎡/59.24㎡&","면적100㎡&,면적103㎡&",1000000014
화곡동,강서구,서울특별시,KBA004424,해태드림타운,98,69,해태드림타운,3160,"85.7㎡/66.15㎡&,103.82㎡/80.13㎡&,107.74㎡/83.16㎡&","면적85㎡&,면적95㎡&,면적103㎡&,면적107㎡&",1000000001
화곡동,강서구,서울특별시,KBA015536,삼도,72,64,삼도,9306,102.6㎡/75.52㎡&,면적102㎡&,1000000001
남현동,관악구,서울특별시,KBA012787,르메이에르강남타운I.,50,46,르메이에르강남타운1차,14201,155.11㎡/132.36㎡&,면적155㎡&,1000000012
봉천동,관악구,서울특별시,KBA002279,성현동아,2090,1261,성현동아,1045,"86.19㎡/59.76㎡&,108.02㎡/84.87㎡&,141.16㎡/114.69㎡&","면적86㎡&,면적108㎡&,면적141㎡&",1000000001
봉천동,관악구,서울특별시,KBA002367,봉천우성,2314,1597,봉천우성,1048,"87.63㎡/59.76㎡&,106.06㎡/84.96㎡&,143.28㎡/114.78㎡&","면적87㎡&,면적106㎡&,면적143㎡&",1000000001
봉천동,관악구,서울특별시,KBA002223,해태보라매타워,256,138,해태보라매타워,1049,"83.18㎡/59.94㎡&,116.63㎡/84.04㎡&","면적83㎡&,면적116A㎡&,면적117B㎡&",1000000001
봉천동,관악구,서울특별시,KBA011562,벽산블루밍,2904,2105,벽산블루밍1차,2986,"78.18㎡/59.99㎡&,110.76㎡/84.99㎡&,132.88㎡/101.95㎡&,149.84A㎡/114.97㎡&,149.86B㎡/114.99㎡&,149.84N㎡/114.97㎡&","면적78㎡&,면적110㎡&,면적132㎡&,면적149A㎡&,면적149N㎡&,면적149B㎡&",1000000004
봉천동,관악구,서울특별시,KBA011563,관악푸르지오,2496,2104,관악푸르지오,2988,"79.89㎡/59.58㎡&,83.38㎡/59.58㎡&,106.88㎡/84.75㎡&,112.93㎡/84.2㎡&,139.22㎡/112.4㎡&","면적79㎡&,면적83㎡&,면적106A㎡&,면적106B㎡&,면적112㎡&,면적139㎡&",1000000001
봉천동,관악구,서울특별시,KBA007257,두산,2561,2001,두산,3034,"82.27㎡/59.92㎡&,110.17㎡/84.87㎡&,112.78㎡/84.92㎡&,143.41㎡/114.99㎡&,159.02㎡/114.99㎡&","면적82A㎡&,면적82B㎡&,면적110A㎡&,면적111A㎡&,면적112B㎡&,면적143㎡&,면적159㎡&",1000000001
신림동,관악구,서울특별시,KBA001809,신림1단지주공,960,90,신림주공1단지,1263,86.62㎡/59.5㎡&,면적86㎡&,1000000012
신림동,관악구,서울특별시,KBA010280,보라매.,92,96,보라매,13405,"66.66㎡/59.7㎡&,66.76㎡/59.7㎡&,66.77㎡/59.94㎡&,72.89㎡/59.99㎡&","면적66B1㎡&,면적66A1㎡&,면적66A2㎡&,면적66D㎡&,면적66F㎡&,면적66G㎡&,면적66B2㎡&,면적66C㎡&,면적66E㎡&,면적67H㎡&,면적72C㎡&,면적72A㎡&,면적76㎡&",1000000003
신림동,관악구,서울특별시,KBA004034,신림하이츠빌라.,126,90,신림하이츠,15715,"100.8㎡/79.14㎡&,116.57㎡/84.96㎡&","면적100㎡&,면적108A㎡&,면적109B㎡&,면적112B㎡&,면적112C㎡&,면적113A㎡&,면적114B㎡&,면적116A㎡&,면적117㎡&,면적123㎡&,면적125㎡&",1000000013
구의동,광진구,서울특별시,KBA003933,성동강변파크빌,97,98,성동강변파크빌,3184,"77㎡/59.1㎡&,109.2㎡/84.96㎡&","면적75A㎡&,면적77B㎡&,면적99㎡&,면적108B㎡&,면적109A㎡&",1000000001
자양동,광진구,서울특별시,KBA003910,자양.,129,112,자양,1059,"62.28㎡/50.25㎡&,67.14㎡/55.24㎡&","면적39A㎡&,면적39B㎡&,면적60㎡&,면적62㎡&,면적67㎡&,면적69㎡&",1000000003
자양동,광진구,서울특별시,KBA013143,광진트라팰리스,196,204,광진트라팰리스,14607,"103.26㎡/84.96㎡&,186.92㎡/153.79㎡&,206.05㎡/169.53㎡&,144.77㎡/119.11㎡&","면적103㎡&,면적144㎡&,면적186㎡&,면적206㎡&",1000000001
자양동,광진구,서울특별시,KBA018461,이튼타워리버3차,257,260,이튼타워리버3차,22230,"104.04A㎡/84.96㎡&,104.07B㎡/84.98㎡&,104.04C㎡/84.96㎡&,150.25㎡/122.69㎡&,168.64㎡/137.71㎡&","면적104A㎡&,면적104C㎡&,면적104B㎡&,면적150㎡&,면적155A㎡&,면적155B㎡&,면적168㎡&",1000000001
개봉동,구로구,서울특별시,KBA005358,동도센트리움,162,136,동도센트리움,10391,"92.29㎡/78.47㎡&,97.67㎡/83.05㎡&,134.4㎡/114.28㎡&,140.5㎡/119.46㎡&","면적92㎡&,면적97㎡&,면적134A㎡&,면적136B㎡&,면적140A㎡&,면적141B㎡&",1000000001
고척동,구로구,서울특별시,KBA011212,한성,145,130,한성,1064,"85.86㎡/66.06㎡&,88.08㎡/68.88㎡&,94.44㎡/73.98㎡&,97.7㎡/78.3㎡&","면적83A㎡&,면적84B㎡&,면적84C㎡&,면적85D㎡&,면적88㎡&,면적90C㎡&,면적91A㎡&,면적91B㎡&,면적94㎡&,면적97A㎡&,면적97B㎡&",1000000001
구로동,구로구,서울특별시,KBA011577,아스타빌,74,77,아스타빌,13868,"113.51㎡/84.99㎡&,90.69㎡/67.97㎡&,104.46㎡/78.18㎡&","면적90㎡&,면적93㎡&,면적104㎡&,면적113㎡&,면적123㎡&,면적142㎡&",1000000001
구로동,구로구,서울특별시,KBA008978,일신건영,125,124,일신건영,3203,"79.27㎡/59.97㎡&,111.92㎡/84.66㎡&","면적79A㎡&,면적79B㎡&,면적111㎡&",1000000001
구로동,구로구,서울특별시,KBA012406,희훈타워빌,71,73,희훈타워빌,3208,"156.26㎡/127.05㎡&,158.26㎡/128.68㎡&,175.37㎡/142.59㎡&","면적137㎡&,면적146㎡&,면적150A㎡&,면적151B㎡&,면적152C㎡&,면적156㎡&,면적158㎡&,면적165㎡&,면적175㎡&",1000000001
구로동,구로구,서울특별시,KBA010648,구로두산,1727,1285,구로두산,912,"66.12㎡/44.64㎡&,72.73㎡/51.84㎡&,82.65㎡/63.33㎡&,105.79㎡/84.9㎡&","면적66㎡&,면적72㎡&,면적82㎡&,면적105㎡&",1000000001
궁동,구로구,서울특별시,KBA000957,궁동빌라.,183,184,궁동신생,15763,"67.2㎡/45.75㎡&,73.36㎡/50.37㎡&,86.7㎡/52.68㎡&,65.2㎡/43.44㎡&","면적64A㎡&,면적67B㎡&,면적73㎡&,면적86㎡&",1000000014
신도림동,구로구,서울특별시,KBA005792,신도림대림(2차),1242,2298,"신도림대림1,2차",3354,"76.03A㎡/59.93㎡&,79.33A㎡/59.9㎡&,105.78㎡/84.95㎡&,125.62㎡/101.48㎡&,161.98㎡/134.99㎡&,76.03B㎡/59.82㎡&,79.33B㎡/59.88㎡&","면적78B㎡&,면적78A㎡&,면적82B㎡&,면적82A㎡&,면적108㎡&,면적126㎡&,면적163㎡&",1000000015
신도림동,구로구,서울특별시,KBA007229,신도림대림(1차),1056,2298,"신도림대림1,2차",3354,"76.03A㎡/59.93㎡&,79.33A㎡/59.9㎡&,105.78㎡/84.95㎡&,125.62㎡/101.48㎡&,161.98㎡/134.99㎡&,76.03B㎡/59.82㎡&,79.33B㎡/59.88㎡&","면적78B㎡&,면적78A㎡&,면적82B㎡&,면적82A㎡&,면적108㎡&,면적126㎡&,면적163㎡&",1000000015
