KBA011476,삼부,강변삼부,Y,삼성동,강남구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('8404','KBA011476',1000000013,NOW(),1000000013,NOW());"
KBA014378,롯데캐슬 프레미어,롯데캐슬프레미어,Y,삼성동,강남구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('18967','KBA014378',1000000013,NOW(),1000000013,NOW());"
KBA016681,"래미안삼성1차(102,103번지)",삼부(102동),,삼성동,강남구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('101425','KBA016681',1000000013,NOW(),1000000013,NOW());"
KBA016681,"래미안삼성1차(102,103번지)",아셈(150-5),,삼성동,강남구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('102764','KBA016681',1000000013,NOW(),1000000013,NOW());"
KBA016681,"래미안삼성1차(102,103번지)","래미안삼성1차(301,302,303동)",,삼성동,강남구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('23869','KBA016681',1000000013,NOW(),1000000013,NOW());"
KBA016681,"래미안삼성1차(102,103번지)",래미안삼성1차(201동),,삼성동,강남구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('23872','KBA016681',1000000013,NOW(),1000000013,NOW());"
KBA016681,"래미안삼성1차(102,103번지)",삼부(101동),,삼성동,강남구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('25531','KBA016681',1000000013,NOW(),1000000013,NOW());"
KBA005658,현대연립,뉴현대,,신사동,강남구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('109797','KBA005658',1000000013,NOW(),1000000013,NOW());"
KBA001999,현대(1차),"신현대(현대9,11,12차)",,압구정동,강남구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('3037','KBA001999',1000000013,NOW(),1000000013,NOW());"
KBA006961,현대(신현대),"신현대(현대9,11,12차)",,압구정동,강남구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('3037','KBA006961',1000000013,NOW(),1000000013,NOW());"
