KB_REGN_NM,KB_REGN_NM,KB_REGN_NM,CMPX_IDF_ID,CMPX_IDF_NM,TOT_HSHL_CNT,NV세대수,SUM_HSHL_CNT,NV_CMPX_NM,NV_CMPX_ID,KB주택형,NV주택형,NV_URL,KB_URL,기매핑건수
상계동,노원구,서울특별시,KBA001038,상계주공(1단지저층),230,137,137,노원우성,1102,"66.11㎡/62.17㎡^,76.03㎡/71.89㎡^,89.25㎡/84.41㎡^","면적101B㎡^,면적102A㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=1102,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA001038&주택형일련번호=&부동산대지역코드=010000&부동산중지역코드=010900&부동산소지역코드=010902&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=상계주공(1단지저층)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,1
상계동,노원구,서울특별시,KBA001038,상계주공(1단지저층),230,826,826,불암현대,1103,"66.11㎡/62.17㎡^,76.03㎡/71.89㎡^,89.25㎡/84.41㎡^","면적81㎡^,면적109B㎡^,면적109A㎡^,면적139A㎡^,면적140B㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=1103,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA001038&주택형일련번호=&부동산대지역코드=010000&부동산중지역코드=010900&부동산소지역코드=010902&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=상계주공(1단지저층)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,1
상계동,노원구,서울특별시,KBA001038,상계주공(1단지저층),230,457,228,중계센트럴파크,110476,"66.11㎡/62.17㎡^,76.03㎡/71.89㎡^,89.25㎡/84.41㎡^","면적86A㎡^,면적86A1㎡^,면적121C㎡^,면적121C1㎡^,면적121A㎡^,면적121A1㎡^,면적122B㎡^,면적124D㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=110476,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA001038&주택형일련번호=&부동산대지역코드=010000&부동산중지역코드=010900&부동산소지역코드=010902&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=상계주공(1단지저층)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,1
상계동,노원구,서울특별시,KBA001038,상계주공(1단지저층),230,64,64,중앙프라자(도시형),110732,"66.11㎡/62.17㎡^,76.03㎡/71.89㎡^,89.25㎡/84.41㎡^",면적20㎡^,http://land.naver.com/article/complexInfo.nhn?rletNo=110732,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA001038&주택형일련번호=&부동산대지역코드=010000&부동산중지역코드=010900&부동산소지역코드=010902&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=상계주공(1단지저층)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0
상계동,노원구,서울특별시,KBA001038,상계주공(1단지저층),230,56,56,에스엔타워(도시형),110830,"66.11㎡/62.17㎡^,76.03㎡/71.89㎡^,89.25㎡/84.41㎡^","면적24㎡^,면적26A㎡^,면적26B㎡^,면적33㎡^,면적37㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=110830,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA001038&주택형일련번호=&부동산대지역코드=010000&부동산중지역코드=010900&부동산소지역코드=010902&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=상계주공(1단지저층)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0
상계동,노원구,서울특별시,KBA001038,상계주공(1단지저층),230,305,305,상계한일유앤아이,11094,"66.11㎡/62.17㎡^,76.03㎡/71.89㎡^,89.25㎡/84.41㎡^","면적78㎡^,면적106㎡^,면적136㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=11094,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA001038&주택형일련번호=&부동산대지역코드=010000&부동산중지역코드=010900&부동산소지역코드=010902&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=상계주공(1단지저층)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,1
상계동,노원구,서울특별시,KBA001038,상계주공(1단지저층),230,175,175,우림루미아트,11145,"66.11㎡/62.17㎡^,76.03㎡/71.89㎡^,89.25㎡/84.41㎡^","면적103C㎡^,면적103B㎡^,면적103A㎡^,면적138㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=11145,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA001038&주택형일련번호=&부동산대지역코드=010000&부동산중지역코드=010900&부동산소지역코드=010902&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=상계주공(1단지저층)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,1
상계동,노원구,서울특별시,KBA001038,상계주공(1단지저층),230,37,37,보람그린,11227,"66.11㎡/62.17㎡^,76.03㎡/71.89㎡^,89.25㎡/84.41㎡^","면적91A㎡^,면적91B㎡^,면적112㎡^,면적114㎡^,면적117㎡^,면적129㎡^,면적139㎡^,면적146㎡^,면적227㎡^,면적235㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=11227,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA001038&주택형일련번호=&부동산대지역코드=010000&부동산중지역코드=010900&부동산소지역코드=010902&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=상계주공(1단지저층)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0
상계동,노원구,서울특별시,KBA001038,상계주공(1단지저층),230,19,19,대동,11237,"66.11㎡/62.17㎡^,76.03㎡/71.89㎡^,89.25㎡/84.41㎡^","면적166㎡^,면적193㎡^,면적206㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=11237,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA001038&주택형일련번호=&부동산대지역코드=010000&부동산중지역코드=010900&부동산소지역코드=010902&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=상계주공(1단지저층)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0
상계동,노원구,서울특별시,KBA001038,상계주공(1단지저층),230,42,37,신기,11395,"66.11㎡/62.17㎡^,76.03㎡/71.89㎡^,89.25㎡/84.41㎡^","면적92㎡^,면적102㎡^,면적142㎡^",http://land.naver.com/article/complexInfo.nhn?rletNo=11395,http://nland.kbstar.com/quics?page=B046949&물건종별구분=01&물건식별자=KBA001038&주택형일련번호=&부동산대지역코드=010000&부동산중지역코드=010900&부동산소지역코드=010902&부동산대지역명=&부동산중지역명=&부동산소지역명=&아파트명=상계주공(1단지저층)&지역목록단계=4&지역명=&조회구분=&GIS호출여부=&매물종별그룹구분=&매물거래구분=&nextPageYn=Y&쿠키사용여부=0&탭구분=,0
